time_index,set_point,measurement,proportional,integrator,differentiator
0.16400,9.722,0.699,4.511,1.000,0.000
0.16440,10.000,0.682,4.658,1.000,0.000
0.16480,9.867,0.670,4.598,1.000,0.000
0.16520,9.984,0.661,4.661,1.000,0.000
0.16560,9.938,0.740,4.598,1.000,0.000
0.16600,10.000,0.712,4.643,1.000,0.000
0.16640,9.994,0.691,4.651,1.000,0.000
0.16680,9.679,0.676,4.501,1.000,0.000
0.16720,10.000,0.665,4.667,1.000,0.000
0.16760,9.889,0.744,4.572,1.000,0.000
0.16800,10.000,0.715,4.642,1.000,0.000
0.16840,9.931,0.693,4.619,1.000,0.000
0.16880,9.955,0.764,4.595,1.000,0.000
0.16920,9.982,0.729,4.626,1.000,0.000
0.16960,10.000,0.704,4.647,1.000,0.000
0.17000,9.993,0.686,4.653,1.000,0.000
0.17040,10.000,0.672,4.663,1.000,0.000
0.17080,9.983,0.749,4.617,1.000,0.000
0.17120,10.000,0.718,4.640,1.000,0.000
0.17160,9.994,0.696,4.649,1.000,0.000
0.17200,10.000,0.766,4.616,1.000,0.000
0.17240,9.692,0.731,4.480,1.000,0.000
0.17280,10.000,0.792,4.603,1.000,0.000
0.17320,10.000,0.836,4.581,1.000,0.000
0.17360,10.000,0.782,4.608,1.000,0.000
0.17400,10.000,0.742,4.628,1.000,0.000
0.17440,10.000,0.713,4.643,1.000,0.000
0.17480,10.000,0.779,4.610,1.000,0.000
0.17520,10.000,0.826,4.586,1.000,0.000
0.17560,10.000,0.775,4.612,1.000,0.000
0.17600,9.976,0.824,4.576,1.000,0.000
0.17640,10.000,0.859,4.570,1.000,0.000
0.17680,10.000,0.799,4.600,1.000,0.000
0.17720,10.000,0.754,4.622,1.000,0.000
0.17760,9.936,0.722,4.606,1.000,0.000
0.17800,9.952,0.785,4.583,1.000,0.000
0.17840,10.000,0.831,4.584,1.000,0.000
0.17880,10.000,0.778,4.610,1.000,0.000
0.17920,10.000,0.826,4.586,1.000,0.000
